location_base,lng,lat,trip_count,passenger_count
DROPOFF,-73.972838708388309,40.583885012473019,4,7
DROPOFF,-73.976763960890153,40.739591242622637,1072,1715
DROPOFF,-74.0317336516934,40.616584879612589,22,33
DROPOFF,-73.958644411954992,40.713648294564095,274,489
DROPOFF,-73.9608764452096,40.660754505952994,116,178
DROPOFF,-73.956609900779725,40.716345452051769,256,432
DROPOFF,-73.93994035628792,40.671879071916855,35,50
DROPOFF,-74.1821444102697,40.68893932287726,298,461
DROPOFF,-73.989963061537964,40.694307865913665,283,491
DROPOFF,-73.9480464762354,40.827642555648488,243,425
DROPOFF,-73.917910372906348,40.7676011407927,106,163
DROPOFF,-73.91771094612858,40.762318089074228,126,231
DROPOFF,-73.878632797373058,40.747482106804938,33,67
DROPOFF,-73.878827758930129,40.752764160833244,38,56
DROPOFF,-73.9681990473846,40.684328517935313,95,149
DROPOFF,-73.791462495315074,40.641421865828207,25,35
DROPOFF,-73.774581846082455,40.647129412329761,45,87
DROPOFF,-73.920507014186526,40.836312594247389,19,33
DROPOFF,-74.0149579728551,40.677777006614917,32,49
DROPOFF,-73.921229317705382,40.685583488878976,33,49
DROPOFF,-73.79164721949013,40.646696839079546,681,1182
DROPOFF,-73.946828671132053,40.795925620558769,324,548
DROPOFF,-73.789421804287556,40.644113516676661,775,1355
DROPOFF,-73.98059654619621,40.673428229891442,119,186
DROPOFF,-73.935044455114664,40.711636374556285,37,62
DROPOFF,-73.986556256255483,40.771054982011577,1203,1931
DROPOFF,-73.706902497738653,40.730695454993146,3,3
DROPOFF,-74.027680944034884,40.621975534361866,28,36
DROPOFF,-73.847937543945861,40.727134782397805,46,74
DROPOFF,-73.938692278244616,40.751185765996404,272,474
DROPOFF,-73.970641557529291,40.692188000843935,220,343
DROPOFF,-73.445296869568608,40.781772178975686,4,5
DROPOFF,-73.785155704990657,40.644221814908747,1041,1798
DROPOFF,-73.8729961737882,40.826972713751765,6,11
DROPOFF,-73.884836328111049,40.683901305758312,3,6
DROPOFF,-73.956813511535657,40.721625473783007,292,513
DROPOFF,-73.891143010015369,40.681094522654654,11,20
DROPOFF,-73.919677270788924,40.587947723487368,2,2
DROPOFF,-73.820036057255663,40.664453600420714,2,2
DROPOFF,-73.9411502958863,40.70354672673303,45,84
DROPOFF,-73.942766090805392,40.745789871077918,126,202
DROPOFF,-73.854012091999721,40.835403512491943,5,6
DROPOFF,-73.936677340871881,40.698381775758854,122,217
DROPOFF,-73.959247295083443,40.618556451291134,9,15
DROPOFF,-74.178102282186686,40.694340334753278,694,1189
DROPOFF,-73.932378784201788,40.753997483557356,77,125
DROPOFF,-74.175852701163933,40.691762495438432,111,177
DROPOFF,-73.950916423913,40.679509499488631,79,162
DROPOFF,-73.928037474564391,40.865230618139762,132,215
DROPOFF,-73.938672323132622,40.806724519366185,368,614
DROPOFF,-73.820629131404246,40.74105219210324,6,8
DROPOFF,-73.842519092217472,40.695568372618595,9,15
DROPOFF,-73.807045545930492,40.659505199711113,51,75
